Transfer Date by Week,Transfer Year,RIN Year,Fuel (D Code),QAP Service Type,RIN Price
"9/10/2012","2012","2011","D6","Unverified","$0.28"
"9/10/2012","2012","2012","D6","Unverified","$0.04"
"9/17/2012","2012","2011","D6","Unverified","$0.01"
"9/17/2012","2012","2012","D6","Unverified","$0.04"
"9/24/2012","2012","2011","D6","Unverified","$0.03"
"9/24/2012","2012","2012","D6","Unverified","$0.03"
"10/1/2012","2012","2011","D6","Unverified","$0.09"
"10/1/2012","2012","2012","D6","Unverified","$0.03"
"10/8/2012","2012","2011","D6","Unverified","$0.01"
"10/8/2012","2012","2012","D6","Unverified","$0.03"
"10/15/2012","2012","2011","D6","Unverified","$0.30"
"10/15/2012","2012","2012","D6","Unverified","$0.03"
"10/22/2012","2012","2011","D6","Unverified","$0.39"
"10/22/2012","2012","2012","D6","Unverified","$0.08"
"10/29/2012","2012","2011","D6","Unverified","$0.01"
"10/29/2012","2012","2012","D6","Unverified","$0.07"
"11/5/2012","2012","2011","D6","Unverified","$0.05"
"11/5/2012","2012","2012","D6","Unverified","$0.08"
"11/12/2012","2012","2011","D6","Unverified","$0.25"
"11/12/2012","2012","2012","D6","Unverified","$0.06"
"11/19/2012","2012","2011","D6","Unverified","$0.41"
"11/19/2012","2012","2012","D6","Unverified","$0.04"
"11/26/2012","2012","2011","D6","Unverified","$0.11"
"11/26/2012","2012","2012","D6","Unverified","$0.06"
"12/3/2012","2012","2011","D6","Unverified","$0.03"
"12/3/2012","2012","2012","D6","Unverified","$0.04"
"12/10/2012","2012","2011","D6","Unverified","$0.06"
"12/10/2012","2012","2012","D6","Unverified","$0.04"
"12/17/2012","2012","2011","D6","Unverified","$0.01"
"12/17/2012","2012","2012","D6","Unverified","$0.04"
"12/24/2012","2012","2011","D6","Unverified","$0.01"
"12/24/2012","2012","2012","D6","Unverified","$0.05"
"12/31/2012","2012","2012","D6","Unverified","$0.05"
"12/31/2012","2013","2011","D6","Unverified","$0.03"
"12/31/2012","2013","2012","D6","Unverified","$0.05"
"12/31/2012","2013","2013","D6","Unverified","$0.01"
"1/7/2013","2013","2011","D6","Unverified","$0.01"
"1/7/2013","2013","2012","D6","Unverified","$0.05"
"1/7/2013","2013","2013","D6","Unverified","$0.06"
"1/14/2013","2013","2011","D6","Unverified","$0.01"
"1/14/2013","2013","2012","D6","Unverified","$0.07"
"1/14/2013","2013","2013","D6","Unverified","$0.06"
"1/21/2013","2013","2011","D6","Unverified","$0.14"
"1/21/2013","2013","2012","D6","Unverified","$0.08"
"1/21/2013","2013","2013","D6","Unverified","$0.12"
"1/28/2013","2013","2011","D6","Unverified","$0.02"
"1/28/2013","2013","2012","D6","Unverified","$0.13"
"1/28/2013","2013","2013","D6","Unverified","$0.11"
"2/4/2013","2013","2011","D6","Unverified","$0.02"
"2/4/2013","2013","2012","D6","Unverified","$0.12"
"2/4/2013","2013","2013","D6","Unverified","$0.13"
"2/11/2013","2013","2011","D6","Unverified","$0.01"
"2/11/2013","2013","2012","D6","Unverified","$0.12"
"2/11/2013","2013","2013","D6","Unverified","$0.22"
"2/18/2013","2013","2011","D6","Unverified","$0.02"
"2/18/2013","2013","2012","D6","Unverified","$0.10"
"2/18/2013","2013","2013","D6","Unverified","$0.24"
"2/25/2013","2013","2012","D6","Unverified","$0.32"
"2/25/2013","2013","2013","D6","Unverified","$0.24"
"3/4/2013","2013","2012","D6","Unverified","$0.45"
"3/4/2013","2013","2013","D6","Unverified","$0.41"
"3/11/2013","2013","2012","D6","Unverified","$0.49"
"3/11/2013","2013","2013","D6","Unverified","$0.38"
"3/18/2013","2013","2012","D6","Unverified","$0.50"
"3/18/2013","2013","2013","D6","Unverified","$0.45"
"3/25/2013","2013","2012","D6","Unverified","$0.47"
"3/25/2013","2013","2013","D6","Unverified","$0.39"
"4/1/2013","2013","2012","D6","Unverified","$0.45"
"4/1/2013","2013","2013","D6","Unverified","$0.54"
"4/8/2013","2013","2012","D6","Unverified","$0.63"
"4/8/2013","2013","2013","D6","Unverified","$0.50"
"4/15/2013","2013","2012","D6","Unverified","$0.67"
"4/15/2013","2013","2013","D6","Unverified","$0.40"
"4/22/2013","2013","2012","D6","Unverified","$0.59"
"4/22/2013","2013","2013","D6","Unverified","$0.63"
"4/29/2013","2013","2012","D6","Unverified","$0.46"
"4/29/2013","2013","2013","D6","Unverified","$0.45"
"5/6/2013","2013","2012","D6","Unverified","$0.63"
"5/6/2013","2013","2013","D6","Unverified","$0.54"
"5/13/2013","2013","2012","D6","Unverified","$0.72"
"5/13/2013","2013","2013","D6","Unverified","$0.50"
"5/20/2013","2013","2012","D6","Unverified","$0.58"
"5/20/2013","2013","2013","D6","Unverified","$0.73"
"5/27/2013","2013","2012","D6","Unverified","$0.67"
"5/27/2013","2013","2013","D6","Unverified","$0.68"
"6/3/2013","2013","2012","D6","Unverified","$0.70"
"6/3/2013","2013","2013","D6","Unverified","$0.65"
"6/10/2013","2013","2012","D6","Unverified","$0.17"
"6/10/2013","2013","2013","D6","Unverified","$0.67"
"6/17/2013","2013","2012","D6","Unverified","$0.86"
"6/17/2013","2013","2013","D6","Unverified","$0.50"
"6/24/2013","2013","2012","D6","Unverified","$0.73"
"6/24/2013","2013","2013","D6","Unverified","$0.57"
"7/1/2013","2013","2012","D6","Unverified","$0.72"
"7/1/2013","2013","2013","D6","Unverified","$0.70"
"7/8/2013","2013","2012","D6","Unverified","$0.85"
"7/8/2013","2013","2013","D6","Unverified","$0.61"
"7/15/2013","2013","2012","D6","Unverified","$0.95"
"7/15/2013","2013","2013","D6","Unverified","$0.91"
"7/22/2013","2013","2012","D6","Unverified","$0.71"
"7/22/2013","2013","2013","D6","Unverified","$0.84"
"7/29/2013","2013","2012","D6","Unverified","$1.01"
"7/29/2013","2013","2013","D6","Unverified","$0.83"
"8/5/2013","2013","2012","D6","Unverified","$1.02"
"8/5/2013","2013","2013","D6","Unverified","$1.05"
"8/12/2013","2013","2012","D6","Unverified","$1.06"
"8/12/2013","2013","2013","D6","Unverified","$0.88"
"8/19/2013","2013","2012","D6","Unverified","$1.08"
"8/19/2013","2013","2013","D6","Unverified","$0.91"
"8/26/2013","2013","2012","D6","Unverified","$0.87"
"8/26/2013","2013","2013","D6","Unverified","$0.90"
"9/2/2013","2013","2012","D6","Unverified","$0.70"
"9/2/2013","2013","2013","D6","Unverified","$0.72"
"9/9/2013","2013","2012","D6","Unverified","$0.81"
"9/9/2013","2013","2013","D6","Unverified","$0.79"
"9/16/2013","2013","2012","D6","Unverified","$0.83"
"9/16/2013","2013","2013","D6","Unverified","$0.75"
"9/23/2013","2013","2012","D6","Unverified","$0.65"
"9/23/2013","2013","2013","D6","Unverified","$0.74"
"9/30/2013","2013","2012","D6","Unverified","$0.86"
"9/30/2013","2013","2013","D6","Unverified","$0.70"
"10/7/2013","2013","2012","D6","Unverified","$0.28"
"10/7/2013","2013","2013","D6","Unverified","$0.67"
"10/14/2013","2013","2012","D6","Unverified","$0.83"
"10/14/2013","2013","2013","D6","Unverified","$0.57"
"10/21/2013","2013","2012","D6","Unverified","$0.69"
"10/21/2013","2013","2013","D6","Unverified","$0.61"
"10/28/2013","2013","2012","D6","Unverified","$0.70"
"10/28/2013","2013","2013","D6","Unverified","$0.58"
"11/4/2013","2013","2012","D6","Unverified","$0.11"
"11/4/2013","2013","2013","D6","Unverified","$0.39"
"11/11/2013","2013","2012","D6","Unverified","$1.12"
"11/11/2013","2013","2013","D6","Unverified","$0.58"
"11/18/2013","2013","2012","D6","Unverified","$0.09"
"11/18/2013","2013","2013","D6","Unverified","$0.46"
"11/25/2013","2013","2012","D6","Unverified","$0.95"
"11/25/2013","2013","2013","D6","Unverified","$0.62"
"12/2/2013","2013","2012","D6","Unverified","$0.34"
"12/2/2013","2013","2013","D6","Unverified","$0.56"
"12/9/2013","2013","2012","D6","Unverified","$0.28"
"12/9/2013","2013","2013","D6","Unverified","$0.45"
"12/16/2013","2013","2012","D6","Unverified","$0.58"
"12/16/2013","2013","2013","D6","Unverified","$0.55"
"12/23/2013","2013","2012","D6","Unverified","$0.34"
"12/23/2013","2013","2013","D6","Unverified","$0.47"
"12/30/2013","2013","2012","D6","Unverified","$0.30"
"12/30/2013","2013","2013","D6","Unverified","$0.56"
"12/30/2013","2014","2012","D6","Unverified","$1.02"
"12/30/2013","2014","2013","D6","Unverified","$0.46"
"1/6/2014","2014","2012","D6","Unverified","$0.51"
"1/6/2014","2014","2013","D6","Unverified","$0.33"
"1/6/2014","2014","2014","D6","Unverified","$0.01"
"1/13/2014","2014","2012","D6","Unverified","$0.30"
"1/13/2014","2014","2013","D6","Unverified","$0.31"
"1/13/2014","2014","2014","D6","Unverified","$0.25"
"1/20/2014","2014","2012","D6","Unverified","$0.30"
"1/20/2014","2014","2013","D6","Unverified","$0.30"
"1/20/2014","2014","2014","D6","Unverified","$0.38"
"1/27/2014","2014","2012","D6","Unverified","$0.31"
"1/27/2014","2014","2013","D6","Unverified","$0.33"
"1/27/2014","2014","2014","D6","Unverified","$0.40"
"2/3/2014","2014","2012","D6","Unverified","$0.42"
"2/3/2014","2014","2013","D6","Unverified","$0.41"
"2/3/2014","2014","2014","D6","Unverified","$0.36"
"2/10/2014","2014","2012","D6","Unverified","$0.50"
"2/10/2014","2014","2013","D6","Unverified","$0.40"
"2/10/2014","2014","2014","D6","Unverified","$0.40"
"2/17/2014","2014","2012","D6","Unverified","$0.52"
"2/17/2014","2014","2013","D6","Unverified","$0.46"
"2/17/2014","2014","2014","D6","Unverified","$0.44"
"2/24/2014","2014","2012","D6","Unverified","$0.45"
"2/24/2014","2014","2013","D6","Unverified","$0.38"
"2/24/2014","2014","2014","D6","Unverified","$0.48"
"3/3/2014","2014","2013","D6","Unverified","$0.45"
"3/3/2014","2014","2014","D6","Unverified","$0.56"
"3/10/2014","2014","2012","D6","Unverified","$0.29"
"3/10/2014","2014","2013","D6","Unverified","$0.46"
"3/10/2014","2014","2014","D6","Unverified","$0.51"
"3/17/2014","2014","2013","D6","Unverified","$0.44"
"3/17/2014","2014","2014","D6","Unverified","$0.44"
"3/24/2014","2014","2012","D6","Unverified","$0.29"
"3/24/2014","2014","2013","D6","Unverified","$0.40"
"3/24/2014","2014","2014","D6","Unverified","$0.48"
"3/31/2014","2014","2012","D6","Unverified","$0.50"
"3/31/2014","2014","2013","D6","Unverified","$0.35"
"3/31/2014","2014","2014","D6","Unverified","$0.48"
"4/7/2014","2014","2012","D6","Unverified","$0.47"
"4/7/2014","2014","2013","D6","Unverified","$0.50"
"4/7/2014","2014","2014","D6","Unverified","$0.47"
"4/14/2014","2014","2012","D6","Unverified","$0.48"
"4/14/2014","2014","2013","D6","Unverified","$0.51"
"4/14/2014","2014","2014","D6","Unverified","$0.44"
"4/21/2014","2014","2013","D6","Unverified","$0.47"
"4/21/2014","2014","2014","D6","Unverified","$0.40"
"4/28/2014","2014","2012","D6","Unverified","$0.42"
"4/28/2014","2014","2013","D6","Unverified","$0.46"
"4/28/2014","2014","2014","D6","Unverified","$0.46"
"5/5/2014","2014","2012","D6","Unverified","$0.40"
"5/5/2014","2014","2013","D6","Unverified","$0.35"
"5/5/2014","2014","2014","D6","Unverified","$0.41"
"5/12/2014","2014","2012","D6","Unverified","$0.44"
"5/12/2014","2014","2013","D6","Unverified","$0.50"
"5/12/2014","2014","2014","D6","Unverified","$0.45"
"5/19/2014","2014","2012","D6","Unverified","$0.44"
"5/19/2014","2014","2013","D6","Unverified","$0.43"
"5/19/2014","2014","2014","D6","Unverified","$0.54"
"5/26/2014","2014","2012","D6","Unverified","$0.15"
"5/26/2014","2014","2013","D6","Unverified","$0.19"
"5/26/2014","2014","2014","D6","Unverified","$0.46"
"6/2/2014","2014","2012","D6","Unverified","$0.47"
"6/2/2014","2014","2013","D6","Unverified","$0.40"
"6/2/2014","2014","2014","D6","Unverified","$0.44"
"6/9/2014","2014","2013","D6","Unverified","$0.54"
"6/9/2014","2014","2014","D6","Unverified","$0.44"
"6/16/2014","2014","2013","D6","Unverified","$0.57"
"6/16/2014","2014","2014","D6","Unverified","$0.51"
"6/23/2014","2014","2013","D6","Unverified","$0.43"
"6/23/2014","2014","2014","D6","Unverified","$0.47"
"6/30/2014","2014","2013","D6","Unverified","$0.50"
"6/30/2014","2014","2014","D6","Unverified","$0.45"
"7/7/2014","2014","2013","D6","Unverified","$0.45"
"7/7/2014","2014","2014","D6","Unverified","$0.46"
"7/14/2014","2014","2013","D6","Unverified","$0.47"
"7/14/2014","2014","2014","D6","Unverified","$0.50"
"7/21/2014","2014","2012","D6","Unverified","$0.54"
"7/21/2014","2014","2013","D6","Unverified","$0.52"
"7/21/2014","2014","2014","D6","Unverified","$0.47"
"7/28/2014","2014","2013","D6","Unverified","$0.51"
"7/28/2014","2014","2014","D6","Unverified","$0.50"
"8/4/2014","2014","2012","D6","Unverified","$0.38"
"8/4/2014","2014","2013","D6","Unverified","$0.52"
"8/4/2014","2014","2014","D6","Unverified","$0.50"
"8/11/2014","2014","2014","D6","Unverified","$0.50"
"8/18/2014","2014","2013","D6","Unverified","$0.20"
"8/18/2014","2014","2014","D6","Unverified","$0.44"
"8/25/2014","2014","2012","D6","Unverified","$0.50"
"8/25/2014","2014","2013","D6","Unverified","$0.52"
"8/25/2014","2014","2014","D6","Unverified","$0.50"
"9/1/2014","2014","2013","D6","Unverified","$0.50"
"9/1/2014","2014","2014","D6","Unverified","$0.51"
"9/8/2014","2014","2013","D6","Unverified","$0.48"
"9/8/2014","2014","2014","D6","Unverified","$0.49"
"9/15/2014","2014","2013","D6","Unverified","$0.51"
"9/15/2014","2014","2014","D6","Unverified","$0.48"
"9/22/2014","2014","2013","D6","Unverified","$0.41"
"9/22/2014","2014","2014","D6","Unverified","$0.48"
"9/29/2014","2014","2012","D6","Unverified","$0.43"
"9/29/2014","2014","2013","D6","Unverified","$0.47"
"9/29/2014","2014","2014","D6","Unverified","$0.52"
"10/6/2014","2014","2012","D6","Unverified","$0.45"
"10/6/2014","2014","2013","D6","Unverified","$0.45"
"10/6/2014","2014","2014","D6","Unverified","$0.46"
"10/13/2014","2014","2013","D6","Unverified","$0.48"
"10/13/2014","2014","2014","D6","Unverified","$0.46"
"10/20/2014","2014","2012","D6","Unverified","$0.37"
"10/20/2014","2014","2013","D6","Unverified","$0.64"
"10/20/2014","2014","2014","D6","Unverified","$0.44"
"10/27/2014","2014","2013","D6","Unverified","$0.42"
"10/27/2014","2014","2014","D6","Unverified","$0.41"
"11/3/2014","2014","2012","D6","Unverified","$0.01"
"11/3/2014","2014","2013","D6","Unverified","$0.38"
"11/3/2014","2014","2014","D6","Unverified","$0.48"
"11/10/2014","2014","2013","D6","Unverified","$0.46"
"11/10/2014","2014","2014","D6","Unverified","$0.42"
"11/17/2014","2014","2013","D6","Unverified","$0.47"
"11/17/2014","2014","2014","D6","Unverified","$0.46"
"11/24/2014","2014","2013","D6","Unverified","$0.48"
"11/24/2014","2014","2014","D6","Unverified","$0.49"
"12/1/2014","2014","2013","D6","Unverified","$0.26"
"12/1/2014","2014","2014","D6","Unverified","$0.49"
"12/8/2014","2014","2012","D6","Unverified","$0.50"
"12/8/2014","2014","2013","D6","Unverified","$0.25"
"12/8/2014","2014","2014","D6","Unverified","$0.47"
"12/15/2014","2014","2013","D6","Unverified","$0.56"
"12/15/2014","2014","2014","D6","Unverified","$0.52"
"12/22/2014","2014","2013","D6","Unverified","$0.62"
"12/22/2014","2014","2014","D6","Unverified","$0.51"
"12/29/2014","2014","2013","D6","Unverified","$0.47"
"12/29/2014","2014","2014","D6","Unverified","$0.52"
"12/29/2014","2015","2014","D6","Unverified","$0.56"
"1/5/2015","2015","2013","D6","Unverified","$0.83"
"1/5/2015","2015","2014","D6","Unverified","$0.64"
"1/5/2015","2015","2015","D6","Unverified","$0.09"
"1/12/2015","2015","2013","D6","Unverified","$0.78"
"1/12/2015","2015","2014","D6","Unverified","$0.64"
"1/12/2015","2015","2015","D6","Unverified","$0.77"
"1/19/2015","2015","2013","D6","Unverified","$0.61"
"1/19/2015","2015","2014","D6","Unverified","$0.70"
"1/19/2015","2015","2015","D6","Unverified","$0.75"
"1/26/2015","2015","2013","D6","Unverified","$0.62"
"1/26/2015","2015","2014","D6","Unverified","$0.58"
"1/26/2015","2015","2015","D6","Unverified","$0.72"
"2/2/2015","2015","2013","D6","Unverified","$0.64"
"2/2/2015","2015","2014","D6","Unverified","$0.53"
"2/2/2015","2015","2015","D6","Unverified","$0.68"
"2/9/2015","2015","2013","D6","Unverified","$0.71"
"2/9/2015","2015","2014","D6","Unverified","$0.41"
"2/9/2015","2015","2015","D6","Unverified","$0.69"
"2/16/2015","2015","2013","D6","Unverified","$0.61"
"2/16/2015","2015","2014","D6","Unverified","$0.67"
